"subject","trial","SCR_delta","SCL_delta","RR_delta","IBI_delta","RSA_delta","MAP_delta","LVET_delta","CO_delta","PEP_delta","TPR_delta"
"sub-214",2,"-0.49015504"," 1.61376422","-0.79170550"," 1.016174918"," 0.208856081","-0.56717315","-0.33543100","-0.31834115"," 0.318959380"," 0.18068805"
"sub-214",3,"-0.1748506","-1.276755846","-0.274487560"," 0.88777968"," 0.51500859","-0.33559660","-0.10296678","-0.51961644"," 0.318959380"," 0.306647506"
"sub-214",4,"-0.80545944","-0.80139785","-2.35266632"," 0.5935987"," 1.03588324"," 0.04996231","-0.49040715","-0.37090320","-0.16743387"," 0.36819898"
"sub-216",1," 0.37693209"," 2.55697904","-0.3586695318"," 1.53159660"," 0.53953794"," 1.24973115"," 0.15532680","-1.166447910"," 0.197361069"," 0.87648803"
"sub-216",2,"-1.19958995","-0.10350197","-0.22557802"," 1.412534126","-0.068462932"," 1.27336901","-0.05130807","-0.91925819"," 0.586475665"," 0.79718458"
"sub-216",3,"-0.5689811","-0.474566624","-0.166479708"," 1.87393424"," 0.74841753","-0.21660894"," 0.18115615","-1.82731674"," 0.683754314"," 0.743818493"
"sub-216",4," 0.21927988","-1.51869421"," 0.14366610"," 2.0428163","-0.07833150"," 0.26046486"," 0.72357266","-1.28783343"," 0.48919702"," 0.67982817"
"sub-218",1,"-0.96311165","-0.22430506","-0.8584759229","-0.80280425"," 0.38713456"," 1.34970017","-0.92304889","-0.970451676"," 0.270320055"," 0.85940267"
"sub-218",2,"-0.33250283","-0.42051312","-0.01845289","-1.485127448"," 0.429655309","-0.31513287","-1.31048925"," 0.26767770","-0.799745084"," 0.34125849"
"sub-218",3," 1.8746280","-0.306237821","-0.136988101","-2.39008370","-0.00923583","-0.85181847","-1.28465989"," 1.10733605","-1.286138329"," 0.193162599"
"sub-218",4,"-0.64780724"," 0.02367124","-0.58338944","-1.1400123","-0.06614213","-1.21985736","-1.10385439","-0.20241397","-0.70246643"," 0.15056884"
"sub-219",1,"-1.04193775","-0.93049408"," 1.4205268393","-2.46494880"," 1.42160764"," 0.90565610"," 0.65254193","-0.428129875","-0.167433865"," 0.55196694"
"sub-219",2,"-0.41132893","-0.46075944"," 0.33409966","-2.244388987"," 1.690566036"," 0.64404580"," 1.19495844"," 0.21905668"," 0.124402082","-0.04803964"
"sub-219",3,"-0.4113289","-0.622799279"," 0.401770681","-2.26142804"," 2.03107720"," 0.80430232"," 0.98832358"," 0.38258482","-0.751105759","-0.098235221"
